,Age,MaritalStatus,EmpDepartment,EmpJobRole,BusinessTravelFrequency,DistanceFromHome,EmpEducationLevel,EmpEnvironmentSatisfaction,EmpHourlyRate,EmpJobInvolvement,EmpJobLevel,NumCompaniesWorked,OverTime,EmpLastSalaryHikePercent,EmpRelationshipSatisfaction,EmpWorkLifeBalance,ExperienceYearsInCurrentRole,YearsSinceLastPromotion,Attrition,Actual_PerformanceRating,Predicted_PerformanceRating_Logistic_Regression,Predicted_PerformanceRating_Support Vector Classifier_1,Predicted_PerformanceRating_Support_Vector_Classifier_2,Predicted_PerformanceRating_Decision_Tree_Classifier,Predicted_PerformanceRating_Random_Forest_Classifier,Predicted_PerformanceRating_AdaBoost_Classifier,Predicted_PerformanceRating_Gradient_Boosting_Classifier,Predicted_PerformanceRating_Stacking_Classifier
177,34,Single,Research & Development,Healthcare Representative,Travel_Frequently,3,1,1,45,3,2,0,No,17,3,2,2,0,No,3,3,3,3,3,3,3,3,3
178,37,Divorced,Development,Business Analyst,Non-Travel,2,2,3,100,2,2,5,No,14,4,4,0,0,No,3,3,4,3,3,3,3,3,3
179,35,Divorced,Research & Development,Manufacturing Director,Travel_Rarely,2,3,3,44,2,3,2,No,18,2,4,7,6,No,3,4,4,3,3,3,3,3,3
180,34,Single,Sales,Sales Executive,Travel_Rarely,3,2,4,32,1,2,5,No,12,1,3,2,2,No,3,3,3,3,3,3,3,3,3
181,40,Married,Development,Developer,Travel_Frequently,2,2,3,38,4,2,1,No,24,4,3,7,3,No,4,4,4,4,4,4,4,4,4
182,56,Single,Human Resources,Manager,Travel_Rarely,8,4,4,99,3,5,6,No,14,1,3,3,7,No,3,3,3,3,2,3,3,3,3
183,38,Divorced,Research & Development,Manager R&D,Travel_Rarely,9,2,2,71,3,1,2,No,19,4,4,2,0,No,4,4,4,3,4,4,4,4,4
184,36,Single,Research & Development,Manufacturing Director,Non-Travel,18,4,1,78,3,2,2,No,20,1,3,9,0,No,3,3,2,3,3,4,3,3,4
185,42,Divorced,Development,Developer,Travel_Frequently,19,3,3,57,4,1,6,Yes,12,4,3,2,2,Yes,3,3,3,3,3,3,3,3,3
186,35,Divorced,Development,Developer,Travel_Frequently,25,4,4,96,3,1,1,Yes,19,1,2,2,7,Yes,3,3,3,3,3,3,3,3,3
187,36,Single,Sales,Sales Executive,Travel_Rarely,1,4,2,73,3,2,6,No,13,1,3,0,0,No,3,3,3,3,3,3,3,3,3
188,36,Married,Sales,Sales Executive,Travel_Rarely,3,3,1,94,2,3,0,No,19,3,3,7,3,No,2,2,2,2,2,2,2,2,2
189,34,Married,Research & Development,Research Scientist,Non-Travel,16,4,4,85,1,1,1,Yes,23,2,3,2,3,Yes,4,4,4,4,4,4,4,4,4
190,25,Married,Development,Business Analyst,Travel_Rarely,7,1,4,64,2,1,1,No,11,3,3,2,2,No,3,3,3,3,3,3,3,3,3
191,40,Divorced,Research & Development,Manager R&D,Travel_Rarely,2,1,2,89,4,2,5,No,20,2,3,11,11,No,2,2,2,2,2,2,2,2,2
192,53,Divorced,Development,Technical Lead,Travel_Rarely,13,2,4,57,4,2,1,No,11,3,3,2,1,No,3,3,3,3,3,3,3,3,3
193,56,Divorced,Research & Development,Healthcare Representative,Non-Travel,1,4,3,57,3,2,1,No,21,1,2,12,1,No,4,4,4,4,4,4,4,4,4
194,42,Single,Sales,Sales Executive,Travel_Rarely,4,4,2,45,3,2,7,No,13,4,4,4,1,No,4,2,4,2,3,2,3,4,2
195,41,Single,Sales,Sales Representative,Travel_Rarely,20,2,2,70,3,1,1,Yes,22,4,2,3,0,Yes,3,3,2,3,3,2,3,3,3
196,54,Divorced,Research & Development,Manager R&D,Travel_Frequently,11,4,2,87,3,4,3,No,20,1,3,9,1,No,2,2,2,2,2,2,2,2,2
197,42,Divorced,Development,Developer,Travel_Frequently,29,2,1,92,3,2,2,No,11,2,3,4,0,No,3,3,3,3,3,3,3,3,3
198,38,Single,Development,Developer,Travel_Rarely,1,3,3,81,3,3,4,Yes,14,4,4,0,0,No,3,3,3,3,3,3,3,3,3
199,34,Married,Development,Technical Lead,Travel_Frequently,2,1,4,45,2,2,1,No,17,3,2,9,1,No,3,3,3,3,3,3,3,3,3
200,44,Single,Research & Development,Manager R&D,Travel_Frequently,2,1,2,86,3,3,5,Yes,18,2,2,2,2,No,2,2,2,2,2,2,3,2,2
201,31,Divorced,Sales,Sales Executive,Non-Travel,2,4,4,57,3,3,1,Yes,19,1,2,8,9,No,3,3,3,3,3,3,3,3,3
202,36,Married,Finance,Finance Manager,Travel_Rarely,12,4,3,76,3,2,9,Yes,12,2,3,2,1,No,3,3,3,3,3,3,3,3,3
203,29,Single,Development,Delivery Manager,Travel_Rarely,23,3,4,54,3,1,9,No,16,4,3,2,1,No,3,3,3,3,3,3,3,3,3
204,40,Divorced,Research & Development,Laboratory Technician,Non-Travel,9,4,3,81,3,2,3,No,11,3,4,7,0,No,3,3,3,3,3,3,3,3,3
205,54,Married,Research & Development,Research Director,Travel_Rarely,3,3,4,85,3,4,3,No,14,1,3,9,0,No,3,3,3,3,3,3,3,3,3
206,56,Married,Research & Development,Laboratory Technician,Travel_Rarely,7,2,4,72,3,1,8,No,11,4,1,9,9,Yes,2,3,2,3,3,2,3,2,3
207,21,Single,Sales,Sales Representative,Travel_Rarely,22,1,3,49,3,1,1,No,11,3,3,2,1,No,3,3,3,3,3,3,3,3,3
208,38,Married,Sales,Sales Executive,Travel_Rarely,10,2,1,100,3,2,1,No,11,3,3,7,1,No,2,2,2,2,2,2,2,2,2
209,32,Married,Development,Technical Lead,Travel_Frequently,7,3,2,100,4,1,1,No,20,3,1,1,0,No,3,4,4,3,3,4,4,3,4
210,32,Single,Sales,Sales Executive,Travel_Frequently,10,4,4,79,3,2,8,No,13,3,4,0,0,No,3,3,4,3,3,3,3,3,3
211,50,Divorced,Development,Developer,Travel_Rarely,7,2,2,43,2,5,5,Yes,12,4,2,3,13,No,3,3,3,3,2,3,3,3,3
212,42,Single,Sales,Sales Executive,Travel_Rarely,14,2,3,68,2,2,7,No,17,1,3,4,0,No,3,3,3,3,3,3,3,3,3
213,22,Married,Development,Developer,Travel_Rarely,2,1,3,100,3,1,0,No,14,3,3,1,2,No,3,3,3,3,3,3,3,3,3
214,34,Married,Sales,Sales Executive,Travel_Rarely,1,3,4,64,2,3,1,Yes,14,4,3,9,8,No,3,3,3,3,3,3,3,3,3
215,35,Married,Finance,Finance Manager,Travel_Rarely,18,5,2,48,4,2,1,No,11,4,3,15,1,No,2,2,2,2,2,2,2,2,2
216,26,Single,Sales,Sales Executive,Travel_Rarely,8,3,4,38,2,2,6,No,17,3,2,3,1,Yes,3,3,3,3,3,3,3,3,3
217,27,Married,Sales,Sales Representative,Travel_Rarely,23,1,2,36,2,2,1,No,21,4,3,8,5,No,2,2,2,2,2,2,2,2,2
218,36,Single,Research & Development,Laboratory Technician,Travel_Rarely,4,4,1,37,2,2,1,No,16,3,2,4,1,No,2,2,2,2,2,2,2,2,2
219,34,Married,Sales,Sales Representative,Travel_Frequently,2,4,3,75,3,1,6,No,18,4,3,3,1,No,3,3,3,3,3,3,3,3,3
220,32,Single,Sales,Sales Executive,Travel_Rarely,10,3,4,55,3,2,1,No,12,4,2,7,0,No,3,3,3,3,3,3,3,3,3
221,29,Single,Development,Developer,Travel_Rarely,10,3,4,92,2,1,6,Yes,20,3,3,0,0,Yes,4,3,4,3,3,4,4,4,4
222,57,Married,Research & Development,Research Scientist,Travel_Rarely,1,2,2,93,4,2,0,No,24,1,2,9,2,No,2,2,2,2,2,2,2,2,2
223,38,Married,Sales,Sales Representative,Travel_Rarely,2,4,2,77,1,2,2,Yes,20,1,2,2,0,No,3,3,3,3,3,3,3,3,3
224,22,Married,Development,Senior Developer,Travel_Rarely,1,2,4,33,2,2,6,No,22,1,1,2,2,No,3,4,4,3,3,4,4,3,4
225,31,Single,Development,Developer,Non-Travel,9,2,3,46,2,1,0,Yes,22,1,3,2,1,Yes,4,4,4,4,4,4,3,4,4
226,53,Married,Research & Development,Manufacturing Director,Non-Travel,1,4,1,60,2,4,4,Yes,20,4,2,2,0,No,3,3,4,3,3,3,3,3,3
227,34,Single,Sales,Sales Executive,Travel_Rarely,3,3,4,81,1,2,3,No,18,4,3,9,3,No,3,4,4,3,3,3,3,3,3
228,33,Married,Sales,Sales Executive,Travel_Rarely,8,4,1,46,3,2,2,No,13,4,1,2,2,No,2,2,2,2,2,2,2,2,2
229,34,Married,Research & Development,Research Scientist,Non-Travel,3,4,3,40,2,1,3,No,17,4,3,0,0,No,3,3,3,3,3,3,3,3,3
230,38,Divorced,Development,Developer,Travel_Rarely,23,4,4,82,3,2,9,No,14,2,3,2,1,No,3,3,3,3,3,3,3,3,3
231,38,Married,Development,Technical Lead,Travel_Rarely,29,3,4,54,3,2,3,No,18,1,1,7,1,No,3,3,3,3,3,3,3,3,3
232,40,Single,Sales,Manager,Travel_Rarely,7,4,2,88,3,5,1,No,14,2,2,8,12,No,2,2,2,2,2,2,2,2,2
233,47,Married,Development,Developer,Travel_Rarely,2,2,3,33,3,4,1,Yes,11,3,2,14,3,No,3,3,3,3,3,3,3,3,3
234,31,Single,Human Resources,Human Resources,Travel_Rarely,8,2,4,96,4,1,9,No,18,4,3,2,0,No,3,3,3,3,3,3,3,3,3
235,45,Single,Research & Development,Manager R&D,Travel_Rarely,28,2,4,48,2,4,1,No,11,3,3,6,8,No,3,3,3,3,3,3,3,3,3
236,55,Single,Sales,Manager,Travel_Rarely,18,5,1,83,3,4,3,No,23,4,3,9,7,No,2,2,2,2,2,2,2,2,2
237,28,Divorced,Research & Development,Manager R&D,Travel_Rarely,17,3,3,32,2,1,5,No,12,1,2,1,0,Yes,3,3,3,3,3,3,3,3,3
238,44,Married,Development,Developer,Non-Travel,23,3,2,67,3,2,4,No,12,3,4,2,1,No,3,3,3,3,3,3,3,3,3
239,34,Divorced,Development,Developer,Travel_Rarely,8,5,2,32,3,2,3,No,14,3,3,0,0,No,3,3,3,3,3,3,3,3,3
240,38,Single,Development,Developer,Travel_Rarely,2,3,4,45,3,1,5,Yes,11,3,3,2,1,No,3,3,3,3,3,3,3,3,3
241,28,Married,Research & Development,Manager R&D,Travel_Rarely,29,1,3,96,1,2,1,No,14,2,2,6,1,No,3,3,3,3,3,3,3,3,3
242,42,Married,Sales,Sales Executive,Travel_Rarely,8,4,3,48,3,2,0,No,11,4,3,7,4,No,3,3,3,3,3,3,3,3,3
243,30,Divorced,Research & Development,Research Scientist,Non-Travel,7,3,3,64,3,1,1,No,13,2,2,0,0,No,3,3,3,3,3,3,3,3,3
244,20,Single,Development,Developer,Travel_Rarely,4,3,1,84,3,1,1,No,19,2,3,0,0,Yes,3,3,4,3,3,3,3,3,3
245,51,Married,Sales,Manager,Travel_Rarely,26,4,1,66,3,4,2,No,14,3,2,6,4,No,3,2,2,2,3,2,3,3,2
246,31,Single,Sales,Sales Executive,Travel_Frequently,2,4,4,54,3,2,7,No,13,4,3,2,0,No,3,3,3,3,3,3,3,3,3
247,45,Married,Research & Development,Manager R&D,Travel_Rarely,29,3,2,55,3,3,4,Yes,18,4,4,1,1,No,3,2,3,3,3,3,3,3,3
248,41,Divorced,Sales,Sales Executive,Travel_Rarely,3,3,3,57,2,2,2,No,11,3,3,4,0,No,3,3,3,3,3,3,3,3,3
249,53,Divorced,Sales,Manager,Travel_Rarely,2,2,3,45,3,4,6,No,13,3,4,13,15,No,3,3,3,3,3,3,3,3,3
250,32,Married,Development,Developer,Travel_Rarely,8,2,3,91,4,2,5,No,12,3,2,3,1,No,3,3,3,3,3,3,3,3,3
251,35,Divorced,Development,Developer,Travel_Rarely,4,2,3,75,3,1,1,No,12,3,3,0,0,No,3,3,3,3,3,3,3,3,3
252,28,Divorced,Finance,Finance Manager,Travel_Rarely,27,3,2,39,1,2,0,No,21,2,2,3,0,No,3,2,2,3,3,2,3,3,3
253,29,Divorced,Sales,Sales Executive,Travel_Rarely,5,3,1,43,2,2,1,Yes,13,2,2,0,0,No,3,3,3,3,3,3,3,3,3
254,39,Single,Research & Development,Laboratory Technician,Non-Travel,9,3,3,70,3,2,9,No,15,3,2,4,0,No,3,3,3,3,3,3,3,3,3
255,28,Married,Sales,Sales Executive,Non-Travel,4,3,2,43,3,2,1,No,15,2,4,4,0,No,4,3,4,3,4,4,3,4,4
256,28,Married,Research & Development,Laboratory Technician,Travel_Frequently,2,3,4,52,2,1,1,Yes,12,2,3,2,2,No,3,3,3,3,3,3,3,3,3
257,50,Married,Development,Business Analyst,Travel_Frequently,1,3,1,73,3,5,3,Yes,19,1,2,3,0,No,3,4,4,3,3,3,3,3,3
258,51,Single,Research & Development,Manager R&D,Travel_Rarely,11,2,4,82,2,4,3,No,16,2,2,2,0,No,3,3,3,3,3,3,3,3,3
259,21,Single,Sales,Sales Representative,Travel_Frequently,1,1,1,99,2,1,1,Yes,11,3,3,2,1,Yes,2,2,2,2,2,2,3,2,2
260,43,Divorced,Development,Senior Developer,Travel_Frequently,9,5,4,72,3,2,3,Yes,13,2,3,7,4,No,3,3,3,3,3,3,3,3,3
261,18,Single,Sales,Sales Representative,Travel_Rarely,10,3,4,69,2,1,1,No,12,1,3,0,0,No,3,3,3,3,3,3,3,3,3
262,42,Married,Development,Developer,Travel_Rarely,24,3,4,56,3,3,1,Yes,21,4,2,9,5,No,4,3,4,3,4,4,3,4,4
263,52,Single,Development,Technical Lead,Travel_Rarely,2,3,3,89,2,1,7,No,15,2,2,2,2,No,3,3,3,3,3,3,3,3,3
264,45,Married,Research & Development,Manufacturing Director,Travel_Rarely,25,2,2,93,2,2,0,No,13,4,2,8,3,No,2,2,2,2,2,2,2,2,2
265,40,Single,Development,Developer,Travel_Rarely,2,1,4,86,2,1,0,Yes,20,4,2,2,2,No,4,3,4,4,4,4,3,4,4
266,48,Single,Research & Development,Senior Manager R&D,Travel_Rarely,4,4,3,78,2,3,7,No,14,2,3,11,4,No,3,3,3,3,3,3,3,3,3
267,46,Married,Development,Senior Developer,Travel_Frequently,18,1,1,86,3,3,5,No,11,4,2,2,1,No,2,3,2,3,2,2,3,2,3
268,54,Married,Research & Development,Senior Manager R&D,Travel_Rarely,17,3,3,56,3,3,8,No,11,3,3,7,0,No,3,3,3,3,3,3,3,3,3
269,27,Single,Development,Technical Lead,Travel_Rarely,5,3,3,85,3,1,1,Yes,12,2,2,3,1,No,3,3,3,3,3,3,3,3,3
270,35,Single,Development,Business Analyst,Travel_Rarely,1,3,2,30,2,1,1,No,18,1,3,4,0,No,3,3,3,3,3,3,3,3,3
271,27,Divorced,Development,Technical Architect,Travel_Rarely,2,4,4,33,3,1,1,No,13,4,3,0,0,No,3,3,3,3,3,3,3,3,3
272,32,Married,Sales,Sales Representative,Travel_Rarely,1,4,2,68,2,1,0,No,14,2,3,2,2,No,2,2,2,2,3,2,3,2,2
273,28,Married,Finance,Finance Manager,Travel_Rarely,24,3,3,51,3,1,1,Yes,17,3,3,1,0,Yes,3,3,3,3,3,3,3,3,3
274,37,Divorced,Development,Developer,Travel_Frequently,11,3,2,47,3,3,1,Yes,14,3,3,8,0,No,3,3,3,3,2,3,3,3,3
275,36,Married,Development,Technical Lead,Non-Travel,24,4,2,47,3,2,7,No,15,3,3,8,0,No,3,3,3,3,3,3,3,3,3
276,39,Married,Sales,Sales Executive,Travel_Rarely,21,4,1,44,2,2,3,Yes,12,4,4,4,1,No,2,3,2,2,2,2,2,2,2
277,33,Single,Sales,Sales Executive,Travel_Frequently,10,3,2,46,2,2,3,No,14,3,2,7,0,No,4,3,3,3,2,3,3,4,3
278,32,Single,Sales,Sales Executive,Travel_Rarely,2,4,3,82,2,2,7,Yes,12,3,2,2,2,Yes,3,3,3,3,3,3,3,3,3
279,54,Single,Research & Development,Research Director,Travel_Rarely,1,3,4,54,3,4,6,No,19,4,2,7,12,No,3,3,3,3,3,3,3,3,3
280,30,Married,Human Resources,Human Resources,Travel_Rarely,9,3,3,48,3,2,0,Yes,19,4,1,9,4,No,3,3,3,3,3,3,3,3,3
281,24,Single,Sales,Sales Representative,Travel_Rarely,1,1,1,62,3,1,1,Yes,16,2,3,3,1,Yes,3,2,2,2,3,3,3,3,2
282,29,Single,Development,Developer,Travel_Rarely,1,3,3,85,3,1,0,No,14,4,2,2,1,Yes,3,3,3,3,3,3,3,3,3
283,21,Single,Sales,Sales Representative,Travel_Rarely,12,3,3,90,4,1,1,No,15,4,3,0,0,Yes,3,3,3,3,3,3,3,3,3
284,34,Married,Development,Business Analyst,Travel_Rarely,1,2,1,94,3,2,1,No,15,3,3,2,1,No,3,3,3,3,3,3,3,3,3
285,31,Married,Development,Developer,Travel_Rarely,1,2,4,98,2,1,1,No,12,3,3,2,3,No,3,3,3,3,3,3,3,3,3
286,35,Single,Research & Development,Research Scientist,Travel_Rarely,9,4,2,48,3,2,1,No,19,2,3,7,0,No,3,4,2,3,3,2,3,3,3
287,38,Married,Research & Development,Laboratory Technician,Travel_Frequently,2,2,3,75,2,1,4,No,14,2,2,1,0,No,3,3,3,3,3,3,3,3,3
288,29,Married,Development,Developer,Travel_Rarely,25,5,3,71,2,1,5,No,16,2,4,2,1,Yes,3,3,3,3,3,3,3,3,3
289,40,Married,Sales,Sales Executive,Travel_Rarely,2,2,2,92,3,2,3,No,14,3,3,8,5,No,2,2,2,2,2,2,2,2,2
290,50,Married,Development,Developer,Travel_Rarely,2,3,3,64,3,4,5,No,16,4,3,3,0,No,3,3,3,3,3,3,3,3,3
291,32,Married,Development,Developer,Travel_Rarely,9,4,1,92,3,2,1,Yes,12,4,2,4,0,No,3,3,3,3,3,3,3,3,3
292,29,Married,Sales,Sales Executive,Non-Travel,2,3,4,61,3,2,1,No,14,1,2,3,0,No,3,3,3,3,3,3,3,3,3
293,32,Married,Development,Senior Developer,Non-Travel,1,3,3,70,2,1,6,No,20,3,3,0,0,No,4,4,4,4,4,4,4,4,4
294,43,Single,Development,Developer,Travel_Frequently,10,4,3,33,3,1,0,No,19,1,3,7,1,No,3,3,4,3,3,4,3,3,4
295,26,Married,Research & Development,Laboratory Technician,Travel_Rarely,1,2,1,59,2,1,1,No,16,1,3,3,1,No,2,2,2,2,3,2,3,2,2
296,29,Divorced,Sales,Sales Executive,Travel_Rarely,19,3,3,77,2,2,1,No,14,3,3,7,0,No,3,3,3,3,3,3,3,3,3
297,18,Single,Development,Developer,Travel_Rarely,3,3,3,54,3,1,1,No,13,3,3,0,0,Yes,3,3,3,3,3,3,3,3,3
298,49,Divorced,Development,Senior Developer,Travel_Rarely,18,4,4,58,2,5,1,Yes,17,3,3,9,0,No,3,3,3,3,3,3,3,3,3
299,40,Married,Sales,Manager,Travel_Rarely,2,4,3,79,3,5,0,No,14,4,3,15,1,No,3,3,3,3,3,3,3,3,3
300,43,Married,Sales,Manager,Travel_Rarely,16,3,4,80,3,4,5,Yes,22,3,3,13,1,No,4,4,4,4,4,4,4,4,4
301,28,Married,Sales,Sales Representative,Travel_Rarely,3,3,2,78,3,1,1,No,19,4,3,0,0,No,3,3,3,3,3,3,3,3,3
302,29,Married,Development,Technical Lead,Non-Travel,1,1,4,41,3,2,1,No,13,1,3,7,0,No,3,3,3,3,3,3,3,3,3
303,45,Single,Human Resources,Human Resources,Travel_Rarely,24,4,2,36,3,1,1,No,16,1,3,3,0,No,3,3,3,3,3,2,3,3,3
304,35,Single,Development,Senior Developer,Travel_Rarely,6,4,2,82,1,2,1,No,13,2,3,11,11,No,3,2,2,3,3,3,2,3,3
305,41,Single,Sales,Sales Executive,Non-Travel,10,2,3,40,1,2,1,No,13,1,3,2,11,No,3,3,3,3,3,3,3,3,3
306,33,Divorced,Sales,Sales Executive,Travel_Rarely,2,4,4,93,3,2,1,No,14,3,3,2,0,No,3,3,3,3,3,3,3,3,3
307,30,Married,Research & Development,Laboratory Technician,Travel_Rarely,1,2,4,76,3,1,1,No,13,3,2,8,1,No,3,3,3,3,3,3,3,3,3
308,32,Single,Development,Technical Lead,Travel_Rarely,2,4,1,74,4,2,7,No,16,3,2,7,0,No,3,3,3,3,3,3,3,3,3
309,30,Divorced,Development,Senior Developer,Travel_Rarely,24,1,4,67,3,1,1,No,22,2,3,0,0,No,4,4,4,4,4,4,3,4,4
310,18,Single,Research & Development,Manager R&D,Non-Travel,1,3,4,97,3,1,1,No,15,3,4,0,0,No,4,3,4,4,3,4,3,4,4
311,23,Married,Research & Development,Research Scientist,Travel_Rarely,1,2,4,47,3,1,1,No,22,4,3,0,0,No,4,4,4,4,4,4,4,4,4
312,25,Married,Research & Development,Laboratory Technician,Travel_Rarely,1,3,1,81,3,1,4,No,11,2,2,2,0,No,3,3,3,3,3,3,3,3,3
313,33,Single,Sales,Sales Representative,Non-Travel,8,1,2,88,2,1,0,No,19,4,2,2,2,No,2,2,2,2,2,2,2,2,2
314,29,Married,Research & Development,Laboratory Technician,Travel_Frequently,20,1,4,40,3,1,1,No,13,2,4,8,3,No,3,3,3,3,3,3,3,3,3
315,25,Divorced,Development,Developer,Non-Travel,5,2,2,85,4,2,1,No,12,4,3,3,1,No,3,3,3,3,3,3,3,3,3
316,25,Married,Sales,Sales Executive,Travel_Rarely,18,1,1,93,4,2,2,No,11,2,2,2,1,No,2,2,2,2,2,2,2,2,2
317,43,Married,Finance,Finance Manager,Travel_Rarely,15,2,3,65,2,4,1,No,24,1,3,10,6,No,4,4,4,4,4,4,4,4,4
318,32,Single,Research & Development,Manager R&D,Travel_Rarely,5,4,4,56,2,2,8,No,24,2,3,0,0,No,4,4,4,4,4,4,4,4,4
319,56,Married,Research & Development,Manager R&D,Travel_Rarely,23,3,4,68,3,4,4,Yes,12,1,3,16,15,No,3,3,3,3,3,3,3,3,3
320,37,Married,Development,Technical Lead,Travel_Rarely,1,2,3,83,2,1,2,No,14,1,2,1,0,No,3,3,3,3,3,3,3,3,3
321,26,Married,Development,Developer,Travel_Frequently,5,2,3,88,2,1,1,Yes,14,1,3,7,1,Yes,3,3,3,3,3,3,3,3,3
322,26,Single,Research & Development,Laboratory Technician,Travel_Rarely,1,3,3,95,3,1,0,No,13,4,2,7,7,No,3,3,3,3,3,3,3,3,3
323,19,Single,Development,Technical Lead,Travel_Rarely,3,1,2,79,3,1,1,No,14,4,3,0,0,No,3,3,3,3,3,3,3,3,3
324,31,Divorced,Sales,Sales Executive,Travel_Rarely,6,4,1,66,4,2,4,No,22,4,4,7,5,No,2,2,2,2,2,2,2,2,2
325,40,Married,Sales,Sales Executive,Travel_Rarely,22,2,3,68,2,2,2,Yes,12,1,3,4,1,Yes,3,3,3,3,3,3,3,3,3
326,26,Single,Sales,Sales Representative,Travel_Rarely,5,3,4,30,2,1,0,No,18,4,3,2,0,No,3,3,3,3,3,3,3,3,3
327,36,Married,Sales,Sales Executive,Travel_Rarely,11,4,2,100,2,2,4,No,13,1,2,3,0,No,3,3,3,3,3,2,3,3,3
328,52,Married,Development,Senior Developer,Travel_Rarely,11,4,4,82,3,2,8,No,20,2,3,2,1,No,4,4,4,3,4,4,3,4,4
329,28,Single,Development,Developer,Travel_Rarely,24,3,3,50,2,1,5,Yes,14,2,3,2,0,Yes,3,3,3,3,3,3,3,3,3
330,28,Married,Development,Technical Lead,Travel_Rarely,9,3,4,94,3,1,1,No,23,4,2,2,0,No,4,4,4,4,4,4,4,4,4
331,49,Married,Data Science,Data Scientist,Travel_Rarely,1,3,3,36,3,1,2,No,16,2,3,2,0,No,3,3,3,3,3,3,3,3,3
332,41,Divorced,Human Resources,Manager,Travel_Rarely,10,4,2,73,2,5,3,No,15,2,2,6,12,No,3,2,2,2,3,2,2,3,2
333,28,Single,Research & Development,Research Scientist,Travel_Rarely,1,3,4,84,3,1,2,No,11,2,2,2,1,No,3,3,3,3,3,3,3,3,3
334,45,Divorced,Development,Technical Lead,Travel_Frequently,7,3,1,97,3,3,1,No,18,1,3,9,9,No,3,2,2,3,3,3,3,3,3
335,32,Single,Research & Development,Manager,Travel_Rarely,10,3,3,64,3,3,2,No,25,2,4,2,0,No,3,4,4,4,4,4,4,3,4
336,35,Married,Research & Development,Laboratory Technician,Travel_Frequently,4,4,4,47,2,1,1,No,13,2,4,2,2,No,3,3,3,3,3,3,3,3,3
337,54,Married,Finance,Finance Manager,Travel_Rarely,22,5,2,91,3,4,3,No,25,3,3,8,4,No,2,2,2,2,2,2,2,2,2
338,40,Single,Finance,Finance Manager,Travel_Rarely,16,3,3,84,3,3,6,Yes,15,4,2,2,3,No,3,3,3,3,3,3,3,3,3
339,44,Married,Sales,Sales Executive,Travel_Frequently,1,5,1,79,3,2,7,No,12,3,2,0,0,No,3,3,3,3,3,3,3,3,3
340,39,Single,Sales,Sales Executive,Travel_Rarely,15,4,2,77,3,4,0,No,12,1,3,8,11,No,2,2,2,2,2,2,2,2,2
341,46,Divorced,Sales,Sales Executive,Travel_Rarely,3,3,1,45,4,4,2,No,12,4,3,17,2,No,2,2,2,2,2,2,2,2,2
342,49,Married,Research & Development,Manager R&D,Travel_Frequently,2,1,2,42,3,5,3,No,15,4,3,4,4,No,2,2,2,2,2,2,2,2,2
343,36,Single,Development,Developer,Travel_Rarely,2,4,3,79,3,1,4,No,21,3,3,8,3,No,4,4,4,4,4,4,4,4,4
344,44,Married,Research & Development,Manager R&D,Travel_Rarely,2,1,1,72,4,1,1,No,13,4,3,5,7,No,2,2,2,2,2,2,2,2,2
345,26,Single,Sales,Sales Executive,Travel_Rarely,4,4,4,48,2,2,1,Yes,12,2,3,7,7,Yes,3,3,3,3,3,3,3,3,3
346,51,Single,Development,Developer,Travel_Rarely,6,3,1,51,3,5,7,No,13,3,3,18,15,No,3,3,3,3,3,3,2,3,3
347,40,Divorced,Research & Development,Manager R&D,Travel_Rarely,1,4,1,98,3,4,2,No,11,1,3,7,11,No,2,2,2,2,2,2,3,2,2
348,37,Divorced,Sales,Sales Executive,Travel_Rarely,16,4,4,66,2,2,4,No,19,4,3,0,0,No,3,3,4,3,3,3,3,3,3
349,37,Married,Finance,Finance Manager,Travel_Rarely,10,3,2,71,3,1,1,No,11,1,1,4,7,No,2,2,2,2,2,2,2,2,2
350,29,Divorced,Research & Development,Laboratory Technician,Travel_Rarely,7,3,2,39,3,1,3,Yes,13,1,3,7,7,Yes,2,2,2,2,2,2,2,2,2
351,31,Married,Development,Senior Developer,Travel_Rarely,11,4,4,48,3,1,3,Yes,19,2,3,4,0,No,3,3,3,3,3,3,3,3,3
352,36,Divorced,Research & Development,Manufacturing Director,Travel_Rarely,1,3,3,77,1,3,2,Yes,21,3,3,7,7,No,4,4,4,3,4,4,4,4,4
353,33,Divorced,Development,Developer,Travel_Rarely,1,5,1,95,4,4,4,No,19,3,3,1,0,No,3,3,4,3,3,3,3,3,3
354,44,Married,Human Resources,Human Resources,Travel_Rarely,1,2,2,91,2,3,9,No,14,4,3,6,3,Yes,2,2,2,2,2,2,2,2,2
355,48,Married,Sales,Sales Executive,Travel_Rarely,2,1,2,56,4,2,3,No,12,4,3,2,2,No,3,2,2,2,3,2,3,3,2
356,44,Single,Research & Development,Manager R&D,Travel_Rarely,20,3,4,49,3,1,1,No,13,3,2,2,1,No,3,3,3,3,3,3,3,3,3
357,24,Married,Research & Development,Laboratory Technician,Travel_Rarely,17,2,4,97,3,1,1,No,13,1,1,0,0,Yes,3,3,3,3,3,3,3,3,3
358,39,Married,Research & Development,Healthcare Representative,Travel_Rarely,6,1,4,42,2,3,4,No,15,1,3,7,1,No,3,3,3,3,3,3,3,3,3
359,35,Married,Research & Development,Laboratory Technician,Travel_Rarely,23,4,2,91,1,1,0,No,16,2,4,4,0,No,3,3,3,3,3,2,3,3,3
360,40,Married,Development,Developer,Travel_Rarely,4,1,4,46,3,5,1,No,14,2,3,8,9,No,3,3,3,3,3,3,3,3,3
